"","Microcolony","TOTMASS","HPOTS","NUMDEAD","NUMCALLOWS","NUMEGGS","NUMLARV","NUMPUP","LARVALMASS","Totpup","Infection","Colony"
"1",1,0.3522,7,1,0,4,12,0,0.329,0,"I","A"
"2",2,0,1,1,0,0,0,0,0,0,"I","A"
"3",3,0.8897,3,1,1,8,11,0,0.7819,1,"U","A"
"4",4,0,0,0,0,0,0,0,0,0,"U","A"
"5",5,0.4986,1,1,0,0,18,2,0.3116,2,"I","A"
"6",6,0,3,0,0,0,0,0,0,0,"I","A"
"7",7,0.2106,1,6,0,0,2,2,0.1387,2,"U","A"
"8",8,0,3,0,0,0,0,0,0,0,"U","A"
"9",9,1.1954,6,2,0,5,9,1,1.0455,1,"I","A"
"10",10,0.0122,3,2,0,2,2,0,0.0122,0,"I","A"
"11",11,0.5658,4,0,1,0,14,2,0.4055,3,"U","A"
"12",12,0,0,0,0,0,0,0,0,0,"U","A"
"13",13,1.0275,2,3,0,0,9,0,1.0275,0,"I","A"
"14",14,0,2,0,0,0,0,0,0,0,"U","A"
"15",15,0.0728,3,5,0,0,1,0,0.0728,0,"U","A"
"16",16,0.1161,9,0,0,11,11,0,0.0777,0,"U","A"
"17",17,0.2398,4,0,0,4,2,0,0.2398,0,"I","A"
"18",18,0.0063,0,0,0,0,2,0,0.0063,0,"I","A"
"19",19,0.3079,6,1,0,3,6,0,0.3039,0,"U","A"
"20",20,0.0225,6,4,0,3,4,0,0.0225,0,"U","A"
"21",21,0.395,6,2,0,4,13,0,0.395,0,"I","B"
"22",22,0.1389,0,1,0,0,14,0,0.1389,0,"I","B"
"23",23,0.9068,0,0,1,4,10,0,0.7899,1,"U","B"
"24",24,0.0799,4,1,0,14,1,0,0.0183,0,"U","B"
"25",25,1.1735,3,5,1,6,18,0,1.0242,1,"I","B"
"26",26,0,0,0,0,0,0,0,0,0,"I","B"
"27",27,1.2783,7,3,0,0,23,1,1.1937,1,"U","B"
"28",28,0.0153,4,2,0,6,8,0,0.0153,0,"U","B"
"29",29,0.4542,6,1,0,9,17,0,0.4387,0,"I","B"
"30",30,0.093,7,2,0,4,9,0,0.0801,0,"I","B"
"31",31,0.9862,9,2,0,12,26,1,0.8983,1,"U","B"
"32",32,0.0851,4,0,0,2,8,0,0.0848,0,"U","B"
"33",33,0.0868,4,4,1,5,0,0,0,1,"I","B"
"34",34,0,2,0,0,0,0,0,0,0,"I","B"
"35",35,0,8,4,0,8,0,0,0,0,"U","B"
"36",36,0.1389,7,1,0,0,11,0,0.1389,0,"U","B"
"37",37,0.3883,4,2,0,0,12,0,0.3883,0,"I","B"
"38",38,0,2,0,0,1,0,0,0,0,"I","B"
"39",39,0.0252,3,2,0,4,2,0,0.0252,0,"U","B"
"40",40,0.0525,5,1,0,11,5,0,0.0525,0,"U","B"
"41",41,0,2,0,0,0,0,0,0,0,"I","C"
"42",42,0,3,0,0,0,0,0,0,0,"I","C"
"43",43,0.0765,0,0,0,4,1,0,0.0765,0,"U","C"
"44",44,0,0,0,0,0,0,0,0,0,"U","C"
"45",45,0.0798,0,0,0,3,0,1,0,1,"I","C"
"46",46,0,4,0,0,4,0,0,0,0,"I","C"
"47",47,0,5,6,0,1,0,0,0,0,"U","C"
"48",48,0,0,0,0,0,0,0,0,0,"U","C"
"49",49,0.0175,1,0,0,0,3,0,0.0175,0,"I","C"
"50",51,0,1,0,0,0,0,0,0,0,"U","C"
"51",52,0,0,0,0,0,0,0,0,0,"U","C"
"52",53,0.0495,2,0,0,0,3,0,0.0495,0,"I","C"
"53",55,0,1,0,0,0,0,0,0,0,"U","C"
"54",56,0,2,0,0,3,0,0,0,0,"U","C"
"55",57,0,0,0,0,0,0,0,0,0,"I","C"
"56",58,0,2,3,0,0,0,0,0,0,"I","C"
"57",59,0.0454,2,0,0,0,4,0,0.0454,0,"U","C"
"58",60,0,0,0,0,4,0,0,0,0,"U","C"
"59",61,0,0,0,0,2,0,0,0,0,"I","D"
"60",62,0.001,1,0,0,0,1,0,0.001,0,"I","D"
"61",63,0.1468,4,0,0,2,1,0,0.1416,0,"U","D"
"62",64,0,0,0,0,0,0,0,0,0,"U","D"
"63",65,0.0544,0,1,0,4,5,0,0.0544,0,"I","D"
"64",66,0.0053,0,0,0,5,1,0,0.001,0,"I","D"
"65",67,0,3,1,0,1,0,0,0,0,"U","D"
"66",68,0.0138,5,0,0,0,1,0,0.0138,0,"U","D"
"67",69,0,4,0,0,0,0,0,0,0,"I","D"
"68",70,0,0,0,0,0,0,0,0,0,"I","D"
"69",71,0,0,0,0,0,0,0,0,0,"U","D"
"70",72,0,2,0,0,6,0,0,0,0,"U","D"
"71",73,0,1,0,0,2,0,0,0,0,"I","D"
"72",74,0.0974,6,0,0,0,8,0,0.0974,0,"I","D"
"73",75,0.0129,0,0,0,2,2,0,0.0129,0,"U","D"
"74",76,0.056,1,0,0,0,1,0,0.056,0,"I","D"
"75",77,0,0,0,0,2,0,0,0,0,"I","D"
"76",78,0,0,0,0,1,0,0,0,0,"I","D"
"77",79,0.0142,2,0,0,2,2,0,0.0142,0,"U","D"
"78",80,0,0,0,0,2,0,0,0,0,"U","D"
